semestre,area,creditos,nombre original,nombre
primer,obligatoria,10,Introducción a la Física del Cuerpo Humano,introduccion a la fisica del cuerpo humano
primer,obligatoria,8,Metodología de la Física Experimental,metodologia de la fisica experimental
primer,obligatoria,14,Cálculo Diferencial e Integral I,calculo diferencial e integral i
primer,obligatoria,8,Álgebra,algebra
primer,obligatoria,4,Inglés,ingles
segundo,obligatoria,12,Mecánica Vectorial,mecanica vectorial
segundo,obligatoria,8,Medición y Análisis en la Física Experimental,medicion y analisis en la fisica experimental
segundo,obligatoria,14,Cálculo Diferencial e Integral II,calculo diferencial e integral ii
segundo,obligatoria,8,Geometría Analítica I,geometria analitica i
segundo,obligatoria,8,Bioquímica,bioquimica
segundo,obligatoria,4,Inglés,ingles
tercer,obligatoria,12,Fenómenos Colectivos,fenomenos colectivos
tercer,obligatoria,8,Instrumentación y Calibración,instrumentacion y calibracion
tercer,obligatoria,16,Cálculo Avanzado,calculo avanzado
tercer,obligatoria,8,Álgebra Lineal,algebra lineal
tercer,obligatoria,8,Morfofuncional I,morfofuncional i
tercer,obligatoria,4,Inglés,ingles
cuarto,obligatoria,12,Electromagnetismo I,electromagnetismo i
cuarto,obligatoria,8,Elaboración y Desarrollo de Proyectos Experimentales,elaboracion y desarrollo de proyectos experimentales
cuarto,obligatoria,6,Algoritmos Computacionales,algoritmos computacionales
cuarto,obligatoria,8,Ecuaciones Diferenciales I,ecuaciones diferenciales i
cuarto,obligatoria,6,Morfofuncional II,morfofuncional ii
cuarto,obligatoria,4,Optativa (Humanidades),optativa (humanidades)
cuarto,obligatoria,4,Inglés,ingles
quinto,obligatoria,12,Óptica,optica
quinto,obligatoria,12,Introducción a la Física Cuántica,introduccion a la fisica cuantica
quinto,obligatoria,10,Física Computacional,fisica computacional
quinto,obligatoria,10,Matemáticas Avanzadas,matematicas avanzadas
quinto,obligatoria,6,Anatomía Radiológica,anatomia radiologica
quinto,obligatoria,4,Inglés,ingles
sexto,obligatoria,12,Electromagnetismo II,electromagnetismo ii
sexto,obligatoria,12,Interacción de la Radiación con la Materia,interaccion de la radiacion con la materia
sexto,obligatoria,12,Termofísica,termofisica
sexto,obligatoria,5,Bioestadística,bioestadistica
sexto,obligatoria,10,Física del Cuerpo Humano,fisica del cuerpo humano
sexto,obligatoria,4,Inglés,ingles
séptimo,obligatoria,12,Mecánica Cuántica,mecanica cuantica
séptimo,obligatoria,8,Instrumentación Biomédica,instrumentacion biomedica
séptimo,obligatoria,6,Introducción a la Oncología,introduccion a la oncologia
octavo,obligatoria,9,Seguridad Radiológica,seguridad radiologica
octavo,obligatoria,9,Imagenología Biomédica,imagenologia biomedica
profundizacion,Ciencias Médicas y de la Salud,6,Sistemas Híbridos en Biomedicina,sistemas hibridos en biomedicina
profundizacion,Ciencias Médicas y de la Salud,9,Dosimetría,dosimetria
profundizacion,Ciencias Biológicas,12,Física Biológica,fisica biologica
profundizacion,Ciencias Biológicas,9,Sistemas Dinámicos de la Fisiología,sistemas dinamicos de la fisiologia
optativa,Humanidades,4,Historia y Filosofía del Pensamiento Científico,historia y filosofia del pensamiento cientifico
optativa,Humanidades,4,"Ciencia, Tecnología y Sociedad","ciencia, tecnologia y sociedad"
